ANOMES,ANOEXERCICIO,MES,NOMEORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,CNPJORGAO,RECEITAREALIZADA
201306,2013,Jun,"FUNDO EST. DE SEGURANÇA PÚBLICA-FUNESP",Direta,Executivo,,ALUGUEIS,2658753000114,0.0
201306,2013,Jun,"UNIVERSIDADE ESTADUAL DE GOIAS",Indireta,Executivo,2500.0,ALUGUEIS,1112580000171,12711.84
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,454666.66000000003,"AMORTIZACAO DE EMPRESTIMOS",,495432.04000000004
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,454666.66000000003,"AMORTIZACAO DE EMPRESTIMOS",,495432.04000000004
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,39083.33,"AMORTIZACAO DE EMPRESTIMOS - FOMENTAR",,107265.29000000001
201306,2013,Jun,"FUNDO PART.A INDUSTRIALIZACAO-FOMENTAR",Direta,Executivo,39083.33,"AMORTIZACAO DE EMPRESTIMOS - FOMENTAR",1460666000195,107265.29000000001
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,,"AMORTIZAÇÃO DE EMPRESTIMOS",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,,"AMORTIZAÇÃO DE EMPRESTIMOS",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,333333.33,"AMORTIZAÇÃO DE EMPRÉSTIMOS - FUNMINERAL",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,83.33,"ATUALIZACAO MONETARIA DE ORIGEM NAO TRIBUTARIA",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,83.33,"ATUALIZAçÂO MONETÁRIA DE OUTROS TRIBUTOS DA DÍVIDA ATIVA - PRINCIPAL",,1497.2
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,7705833.33,"BOLSA GARANTIA FOMENTAR",,6780151.2
201306,2013,Jun,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",Indireta,Executivo,88333.33,"COMERCIALIZACAO DE OUTROS PRODUTOS VEGETAIS",3521741000106,
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,88333.33,"COMERCIALIZACAO DE OUTROS PRODUTOS VEGETAIS",,0.0
201306,2013,Jun,EMATER,Indireta,Executivo,88333.33,"COMERCIALIZAÇÃO DE OUTROS PRODUTOS VEGETAIS",13232306000115,0.0
201306,2013,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,88333.33,"COMERCIALIZAÇÃO DE OUTROS PRODUTOS VEGETAIS",,0.0
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,4166666.67,"COMPENSACAO FINANCEIRA PREVIDENCIARIA",,2707947.58
201306,2013,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,4166666.67,"COMPENSACAO FINANCEIRA PREVIDENCIARIA",,2707947.58
201306,2013,Jun,"GOIÁS PREVIDÊNCIA",Indireta,Executivo,4166666.67,"COMPENSACAO FINANCEIRA PREVIDENCIARIA",11991625000189,2707947.58
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,87916.67,"CONCESSÕES E PERMISSÕES DO FECCON",,
201306,2013,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,,"CONTRATOS DIVIDA PÚBLICA ESTADUAL INTERN",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,,"CONTRATOS DIVIDA PÚBLICA ESTADUAL INTERN",1409655000180,0.0
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,2.5E7,"CONTRIBUICAO DE SERVIDOR ATIVO CIVIL",,3.018264859E7
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,8333333.33,"CONTRIBUICAO DE SERVIDOR ATIVO MILITAR",,7914606.92
201306,2013,Jun,"GOIÁS PREVIDÊNCIA",Indireta,Executivo,416.67,"CONTRIBUICAO PATRONAL - ATIVO MILITAR",11991625000189,0.0
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,1416666.67,"CONTRIBUICOES DE PENSIONISTA CIVIL",,1985557.04
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,183333.33000000002,"CONTRIBUICOES DE PENSIONISTA MILITAR",,185383.16
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,1083333.33,"CONTRIBUICOES DE SERVID. INATIVO MILITAR",,1069264.91
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,1083333.33,"CONTRIBUICOES DE SERVID. INATIVO MILITAR",,1069264.91
201306,2013,Jun,"GOIÁS PREVIDÊNCIA",Indireta,Executivo,1083333.33,"CONTRIBUICOES DE SERVID. INATIVO MILITAR",11991625000189,1069264.91
201306,2013,Jun,"GOIÁS PREVIDÊNCIA",Indireta,Executivo,2500000.0,"CONTRIBUICOES DE SERVIDOR INATIVO CIVIL",11991625000189,4899957.09
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,3.877791667E7,"CONTRIBUICOES PREVIDENCIARIAS DO REGIME PROPRIO",,4.637583851E7
201306,2013,Jun,"GOIÁS PREVIDÊNCIA",Indireta,Executivo,3.877791667E7,"CONTRIBUICOES PREVIDENCIARIAS DO REGIME PROPRIO",11991625000189,4.637583851E7
201306,2013,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,36916.66,"CONTRIBUICOES SOCIAIS",,
201306,2013,Jun,"GOIÁS PREVIDÊNCIA",Indireta,Executivo,3.8778E7,"CONTRIBUICOES SOCIAIS",11991625000189,4.637583851E7
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,4.959975E7,"CONTRIBUIÇÃO PATRONAL - ATIVO CIVIL",,4.950298452E7
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,4.959975E7,"CONTRIBUIÇÃO PATRONAL - ATIVO CIVIL",,4.950298452E7
201306,2013,Jun,"GOIÁS PREVIDÊNCIA",Indireta,Executivo,4.959975E7,"CONTRIBUIÇÃO PATRONAL - ATIVO CIVIL",11991625000189,4.950298452E7
201306,2013,Jun,"FUNDO SOCIAL DE LOTERIA",Direta,Executivo,9163000.0,"CONTRIBUIÇÕES AO PROTEGE",4354889000166,
201306,2013,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,6.643308333E7,"CONTRIBUIÇÕES PARA REGIME PRÓPRIO DE PREVIDÊNCIA DO SERVIDOR PÚBLICO",,6.555754746E7
201306,2013,Jun,"GOIÁS PREVIDÊNCIA",Indireta,Executivo,6.643308333E7,"CONTRIBUIÇÕES SOCIAIS",11991625000189,6.555754746E7
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,7973250.0,"COTA - PARTE DA CONTRIBUICAO DO SALARIO EDUCACAO",,7641580.97
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,1788083.33,"COTA-PARTE DA COMPENSACAO FINANCEIRA DE RECURSOS MINERAIS",,1033763.34
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,1.7104575E8,"COTA-PARTE DO FUNDO DE PARTICIPACAO DOS ESTADOS E DO DISTRITO FEDERAL",,1.6436269223E8
201306,2013,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,1.7104575E8,"COTA-PARTE DO FUNDO DE PARTICIPACAO DOS ESTADOS E DO DISTRITO FEDERAL",,1.6436269223E8
201306,2013,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,541833.33,"COTA-PARTE DO FUNDO ESPECIAL DO PETROLEO - FEP",,516660.4
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,541833.33,"COTA-PARTE DO FUNDO ESPECIAL DO PETROLEO - FEP",,516660.4
201306,2013,Jun,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,5491500.0,"COTA-PARTE DO IMPOSTO S/ PRODUTOS INDUSTRIALIZADOS - ESTADOS EXPORTADORES DE PRODUTOS INDUSTRIALIZADOS",1409655000180,5167331.99
201306,2013,Jun,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,83.33,"COTA-PARTE DO IMPOSTO S/OPERACOES DE CREDITO, CAMBIO E SEGURO OU RELATIVAS A TITULOS OU VALORES MOBILIARIOS - COMERCIALI",1409655000180,0.0
201306,2013,Jun,"DEP. EST. DE TRÂNSITO DE GOIÁS- DETRAN",Indireta,Executivo,-9449666.67,"DEDUCAO DA RECEITA TRIBUTARIA",2872448000120,-4.722498996E7
201306,2013,Jun,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",Direta,Executivo,,"DEDUCAO DA RECEITA TRIBUTARIA",3280530000129,-2.399504727E7
201306,2013,Jun,"JUNTA COMERCIAL EST. GOIÁS - JUCEG",Indireta,Executivo,,"DEDUCAO DA RECEITA TRIBUTARIA",2088698000174,-399262.56
201306,2013,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,-325333.33,"DEDUCAO DA TRANSF. FINANCEIRA DO ICMS DESON. L.C. Nº 87/96 P/ FORMACAO DO FUNDEB",,-325338.0
201306,2013,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,-3.420916667E7,"DEDUCAO DE RECEITA DO FPE PARA FORMAÇÃO DO FUNDEB",,-3.287253841E7
201306,2013,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,-6226583.33,"DEDUÇAO DA RECEITA DE IPVA P/ FORMAÇÃO DO FUNDEB",,-5959480.09
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-6226583.33,"DEDUÇAO DA RECEITA DE IPVA P/ FORMAÇÃO DO FUNDEB",,-5959480.09
201306,2013,Jun,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,-6226583.33,"DEDUÇAO DA RECEITA DE IPVA P/ FORMAÇÃO DO FUNDEB",1409655000180,-5959480.09
201306,2013,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,-2038666.67,"DEDUÇAO DE RECEITA DE ITCD",,-2625820.54
201306,2013,Jun,"AG. GOIANA DE TRANSP. E OBRAS PUBLICAS",Indireta,Executivo,,"DEDUÇÃO  DE REMUNERAÇÃO DE DEPÓSITO DE RECURSOS NÃO VINCULADOS",3520933000106,0.0
201306,2013,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,,"DEDUÇÃO  DE REMUNERAÇÃO DE DEPÓSITO DE RECURSOS NÃO VINCULADOS",,0.0
201306,2013,Jun,"FUNDO DE TRANSPORTE",Indireta,Executivo,,"DEDUÇÃO  DE REMUNERAÇÃO DE DEPÓSITO DE RECURSOS NÃO VINCULADOS",13650495000146,0.0
201306,2013,Jun,"AG. GOIANA DE DEFESA AGROPECUARIA",Indireta,Executivo,,"DEDUÇÃO DA RECEITA CORRENTE",6064227000187,-318666.75
201306,2013,Jun,"AG. GOIANA DE REG. CONT. E FISC. S.PUBL",Indireta,Executivo,,"DEDUÇÃO DA RECEITA CORRENTE",3537650000169,-2582.86
201306,2013,Jun,"AG. GOIANA DE TRANSP. E OBRAS PUBLICAS",Indireta,Executivo,,"DEDUÇÃO DA RECEITA CORRENTE",3520933000106,0.0
201306,2013,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,-8583750.0,"DEDUÇÃO DA RECEITA CORRENTE",,-3.402526065E7
201306,2013,Jun,"FUNDO MODERN. ADM. FAZENDÁRIA/FUNDAF-GO",Direta,Executivo,,"DEDUÇÃO DA RECEITA CORRENTE",7749679000165,0.0
201306,2013,Jun,"FUNDO PART.A INDUSTRIALIZACAO-FOMENTAR",Direta,Executivo,,"DEDUÇÃO DA RECEITA CORRENTE",1460666000195,0.0
201306,2013,Jun,"FUNDO SOCIAL DE LOTERIA",Direta,Executivo,-6488416.67,"DEDUÇÃO DA RECEITA CORRENTE",4354889000166,
201306,2013,Jun,FUNPRODUZIR,Direta,Executivo,-2095333.33,"DEDUÇÃO DA RECEITA CORRENTE",4352350000178,0.0
201306,2013,Jun,"INST.DE ASSIST.SERV.PUB. ESTADO DE GOIAS",Indireta,Executivo,,"DEDUÇÃO DA RECEITA CORRENTE",1246693000160,0.0
201306,2013,Jun,"JUNTA COMERCIAL EST. GOIÁS - JUCEG",Indireta,Executivo,,"DEDUÇÃO DA RECEITA CORRENTE",2088698000174,-399262.56
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,,"DEDUÇÃO DA RECEITA DE CONCESSÕES E PERMISSÕES",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,,"DEDUÇÃO DA RECEITA DE CONCESSÕES E PERMISSÕES",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,-3.735966667E7,"DEDUÇÃO DA RECEITA DE IPVA",,-3.671871624E7
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,,"DEDUÇÃO DA RECEITA DE MULTAS DO ICMS P/ FORMAÇÃO DO FUNDEB",,0.0
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,,"DEDUÇÃO DA RECEITA DE TRANSFERENCIAS CONSTITUCIONAIS AOS MUNICIPIOS - IPI",,0.0
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,-2.44713E8,"DEDUÇÃO DA RECEITA DE TRANSFERENCIAS CONTITUCIONAIS AOS MUNICIPIOS - ICMS",,-2.1634648452E8
201306,2013,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,-2.44713E8,"DEDUÇÃO DA RECEITA DE TRANSFERENCIAS CONTITUCIONAIS AOS MUNICIPIOS - ICMS",,-2.1634648452E8
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-3.113308333E7,"DEDUÇÃO DA RECEITA DE TRANSFERENCIAS CONTITUCIONAIS AOS MUNICIPIOS - IPVA",,-3.073086408E7
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"DEDUÇÃO DAS CONTRIBUIÇÕES PREVIDENCIARIAS DO REGIME PROPRIO",,-9424061.4
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"DEDUÇÃO DAS CONTRIBUIÇÕES SOCIAIS",,-9424061.4
201306,2013,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,,"DEDUÇÃO DAS RECEITAS DE CAPITAL",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"DEDUÇÃO DAS RECEITAS DE CAPITAL",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"DEDUÇÃO DAS RECEITAS DE CONTRIBUIÇÕES",,-9424061.4
201306,2013,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,,"DEDUÇÃO DAS RECEITAS DE CONTRIBUIÇÕES",,-9424061.4
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-3.939833333E7,"DEDUÇÃO DAS RECEITAS DE IMPOSTOS S/ PATRIMONIO E A RENDA",,-3.934500734E7
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-3.9610283333E8,"DEDUÇÃO DAS RECEITAS DE IMPOSTOS S/ PRODUÇÃO E CIRCULAÇÃO",,-3.55453192E8
201306,2013,Jun,"FUNDO SOCIAL DE LOTERIA",Direta,Executivo,-4562000.0,"DEDUÇÃO DAS RECEITAS DE IMPOSTOS S/ PRODUÇÃO E CIRCULAÇÃO",4354889000166,
201306,2013,Jun,"AG. GOIANA DE DEFESA AGROPECUARIA",Indireta,Executivo,,"DEDUÇÃO DAS RECEITAS DE SERVIÇOS",6064227000187,-15644.53
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,-4666.67,"DEDUÇÃO DAS RECEITAS DE SERVIÇOS",,-1142741.91
201306,2013,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,,"DEDUÇÃO DAS RECEITAS DE SERVIÇOS",,-331499.23
201306,2013,Jun,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",Direta,Executivo,,"DEDUÇÃO DAS RECEITAS DE SERVIÇOS",3280530000129,-331499.23
201306,2013,Jun,FUNPRODUZIR,Direta,Executivo,,"DEDUÇÃO DAS RECEITAS DE SERVIÇOS",4352350000178,0.0
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"DEDUÇÃO DAS RECEITAS PATRIMONIAIS",,0.0
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,,"DEDUÇÃO DAS RENDAS DE EMISSÃO DE GUIAS DE EXAMES",,0.0
201306,2013,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,,"DEDUÇÃO DAS RENDAS DE EMISSÃO DE GUIAS DE EXAMES",,0.0
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,,"DEDUÇÃO DAS RENDAS DE EMISSÃO DE GUIAS MÉDICAS",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"DEDUÇÃO DAS RENDAS DE EMISSÃO DE GUIAS MÉDICAS",,0.0
201306,2013,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,,"DEDUÇÃO DAS RENDAS DE EMISSÃO DE GUIAS MÉDICAS",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,-3.563283333E7,"DEDUÇÃO DAS TRANSFERENCIAS CORRENTES",1409655000180,-3.423134279E7
201306,2013,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,,"DEDUÇÃO DAS TRANSFERENCIAS CORRENTES",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,-3.563283333E7,"DEDUÇÃO DAS TRANSFERENCIAS DA UNIAO",,-3.423134279E7
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,,"DEDUÇÃO DAS TRANSFERENCIAS DE CONVENIO",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"DEDUÇÃO DAS TRANSFERENCIAS DE CONVENIO DA UNIÃO E DE SUAS ENTIDADES",,0.0
201306,2013,Jun,"GOIÁS TURISMO-AGÊNCIA GOIANA DE TURISMO",Indireta,Executivo,,"DEDUÇÃO DAS TRANSFERENCIAS DE CONVENIO DA UNIÃO E DE SUAS ENTIDADES",3549463000103,0.0
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,-3.563283333E7,"DEDUÇÃO DAS TRANSFERENCIAS INTERGOVENAMENTAIS",,-3.423134279E7
201306,2013,Jun,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,-3.563283333E7,"DEDUÇÃO DAS TRANSFERENCIAS INTERGOVENAMENTAIS",1409655000180,-3.423134279E7
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,-1926416.67,"DEDUÇÃO DE BOLSA GARANTIA - FOMENTAR",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,-1926416.67,"DEDUÇÃO DE BOLSA GARANTIA - FOMENTAR",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-1926416.67,"DEDUÇÃO DE BOLSA GARANTIA - FOMENTAR",,0.0
201306,2013,Jun,"FUNDO SOCIAL DE LOTERIA",Direta,Executivo,-1926416.67,"DEDUÇÃO DE BOLSA GARANTIA - FOMENTAR",4354889000166,
201306,2013,Jun,"PROTEGE GOIAS",Direta,Executivo,-1926416.67,"DEDUÇÃO DE BOLSA GARANTIA - FOMENTAR",6084202000145,0.0
201306,2013,Jun,"GOIÁS PREVIDÊNCIA",Indireta,Executivo,,"DEDUÇÃO DE CONTRIBUIÇÃO DE PENSIONISTAS CIVIL",11991625000189,-640269.38
201306,2013,Jun,"GOIÁS PREVIDÊNCIA",Indireta,Executivo,,"DEDUÇÃO DE CONTRIBUIÇÃO DE SERVIDOR ATIVO CIVIL",11991625000189,-6489586.23
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"DEDUÇÃO DE CONTRIBUIÇÃO DE SERVIDOR INATIVO CIVIL",,-2294205.79
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"DEDUÇÃO DE CONTRIBUIÇÕES AO PROTEGE",,0.0
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,,"DEDUÇÃO DE DEMAIS RECEITAS",,0.0
201306,2013,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,,"DEDUÇÃO DE DEMAIS RECEITAS",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"DEDUÇÃO DE DEMAIS RECEITAS DE IPVA",,-28372.07
201306,2013,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,,"DEDUÇÃO DE DEMAIS TAXAS PELA PRESTAÇÃO DE SERVIÇOS",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,,"DEDUÇÃO DE DEMAIS TAXAS PELA PRESTAÇÃO DE SERVIÇOS",1409655000180,0.0
201306,2013,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,,"DEDUÇÃO DE IMPOSTO DE RENDA RET. NA FONTE S/RENDIMENTOS DO TRABALHO",,-470.56
201306,2013,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,-4.3093916667E8,"DEDUÇÃO DE IMPOSTOS",,-3.8562879706E8
201306,2013,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,-4562000.0,"DEDUÇÃO DE IMPOSTOS",,-9169402.28
201306,2013,Jun,"FUNDO SOCIAL DE LOTERIA",Direta,Executivo,-4562000.0,"DEDUÇÃO DE IMPOSTOS",4354889000166,
201306,2013,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,,"DEDUÇÃO DE INDENIZAÇÃO E RESTITUIÇÕES",,0.0
201306,2013,Jun,"AG. GOIANA DE DEFESA AGROPECUARIA",Indireta,Executivo,,"DEDUÇÃO DE MULTAS DE OUTRAS ORIGENS",6064227000187,-42831.11
201306,2013,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,,"DEDUÇÃO DE MULTAS DE OUTRAS ORIGENS",,-529311.87
201306,2013,Jun,"AG. GOIANA DE DEFESA AGROPECUARIA",Indireta,Executivo,,"DEDUÇÃO DE MULTAS E JUROS DE MORA",6064227000187,-43186.700000000004
